short_name,long_name,overall,potential,age,player_positions,pace,shooting,defending
Cristiano Ronaldo,Cristiano Ronaldo,94,95,18,CM,63,67,55
Lionel Messi,Lionel Messi,93,93,19,CM,80,79,81
Neymar Jr,Neymar Jr,85,95,20,RW,73,67,58
Kylian Mbappé,Kylian Mbappé,76,95,21,ST,60,90,49
Kevin De Bruyne,Kevin De Bruyne,89,93,22,ST,69,76,68
Mohamed Salah,Mohamed Salah,83,89,23,CM,79,91,55
Robert Lewandowski,Robert Lewandowski,92,91,24,CM,66,62,71
Sergio Ramos,Sergio Ramos,90,91,25,ST,87,92,75
Virgil van Dijk,Virgil van Dijk,81,90,26,CM,78,67,65
Luka Modric,Luka Modric,89,88,27,CM,61,91,70
Toni Kroos,Toni Kroos,88,92,28,CM,66,88,65
Eden Hazard,Eden Hazard,90,93,29,ST,93,82,59
Luis Suárez,Luis Suárez,92,93,30,ST,74,80,78
Manuel Neuer,Manuel Neuer,93,92,31,CM,83,76,81
Harry Kane,Harry Kane,86,93,32,CM,80,78,69
Paulo Dybala,Paulo Dybala,88,94,33,CM,66,68,70
Giorgio Chiellini,Giorgio Chiellini,87,86,34,GK,93,71,53
Karim Benzema,Karim Benzema,87,89,35,ST,76,94,75
Antoine Griezmann,Antoine Griezmann,86,91,36,CM,89,66,79
Marc-André ter Stegen,Marc-André ter Stegen,84,90,37,ST,80,81,56
Player_2017_0,Player 2017 0,63,63,22,GK,83,54,61
Player_2017_1,Player 2017 1,55,63,29,ST,48,49,42
Player_2017_2,Player 2017 2,71,71,21,RW,79,72,71
Player_2017_3,Player 2017 3,59,62,22,LW,80,88,81
Player_2017_4,Player 2017 4,63,66,31,LW,52,60,46
Player_2017_5,Player 2017 5,68,76,18,ST,68,45,79
Player_2017_6,Player 2017 6,45,49,25,RW,85,81,55
Player_2017_7,Player 2017 7,60,61,19,RW,52,62,72
Player_2017_8,Player 2017 8,60,66,24,LW,62,56,75
Player_2017_9,Player 2017 9,79,84,32,CB,76,74,59
